desc,sql,tag,dialect
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Find users with signup_date greater than 522,SELECT * FROM users WHERE signup_date > 209 LIMIT 100,Sales,Snowflake
Find events with session_id greater than 349,SELECT * FROM events WHERE session_id > 427 LIMIT 100,Support,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,BigQuery
Count total users by email,"SELECT email, count(*) FROM users GROUP BY email ORDER BY 2 DESC",Engineering,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Find products with category greater than 50,SELECT * FROM products WHERE category > 922 LIMIT 100,Support,BigQuery
Count total logs by service_name,"SELECT service_name, count(*) FROM logs GROUP BY service_name ORDER BY 2 DESC",Engineering,BigQuery
Monthly trend of event_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_id) FROM events GROUP BY 1 ORDER BY 1",Sales,BigQuery
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Sales,Postgres
Find users with status greater than 371,SELECT * FROM users WHERE status > 101 LIMIT 100,Finance,Postgres
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Marketing,BigQuery
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Calculate average price in products,SELECT avg(price) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Support,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Count total logs by message,"SELECT message, count(*) FROM logs GROUP BY message ORDER BY 2 DESC",Engineering,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Engineering,Snowflake
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Count total events by timestamp,"SELECT timestamp, count(*) FROM events GROUP BY timestamp ORDER BY 2 DESC",Marketing,Postgres
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Finance,BigQuery
Find logs with level greater than 95,SELECT * FROM logs WHERE level > 155 LIMIT 100,Finance,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Find orders with created_at greater than 496,SELECT * FROM orders WHERE created_at > 558 LIMIT 100,Support,Postgres
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Finance,BigQuery
Count total subscriptions by mrr,"SELECT mrr, count(*) FROM subscriptions GROUP BY mrr ORDER BY 2 DESC",Sales,BigQuery
Find events with event_id greater than 928,SELECT * FROM events WHERE event_id > 479 LIMIT 100,Engineering,Snowflake
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Monthly trend of timestamp for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(timestamp) FROM events GROUP BY 1 ORDER BY 1",Support,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Find products with category greater than 545,SELECT * FROM products WHERE category > 793 LIMIT 100,Sales,Postgres
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Engineering,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Finance,Postgres
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Marketing,Postgres
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Engineering,BigQuery
Find products with price greater than 868,SELECT * FROM products WHERE price > 934 LIMIT 100,Marketing,BigQuery
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Sales,BigQuery
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Support,BigQuery
Find logs with service_name greater than 981,SELECT * FROM logs WHERE service_name > 340 LIMIT 100,Engineering,Postgres
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Support,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Find events with session_id greater than 678,SELECT * FROM events WHERE session_id > 929 LIMIT 100,Engineering,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Monthly trend of session_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(session_id) FROM events GROUP BY 1 ORDER BY 1",Engineering,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Find orders with id greater than 40,SELECT * FROM orders WHERE id > 345 LIMIT 100,Engineering,Postgres
Count total users by signup_date,"SELECT signup_date, count(*) FROM users GROUP BY signup_date ORDER BY 2 DESC",Finance,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Support,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Product,Postgres
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Support,Postgres
Count total logs by service_name,"SELECT service_name, count(*) FROM logs GROUP BY service_name ORDER BY 2 DESC",Marketing,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Support,Snowflake
Count total products by id,"SELECT id, count(*) FROM products GROUP BY id ORDER BY 2 DESC",Support,Postgres
Find events with session_id greater than 591,SELECT * FROM events WHERE session_id > 824 LIMIT 100,Sales,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
Find logs with level greater than 211,SELECT * FROM logs WHERE level > 60 LIMIT 100,Marketing,Snowflake
Find users with country greater than 137,SELECT * FROM users WHERE country > 473 LIMIT 100,Engineering,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Marketing,Postgres
Find subscriptions with start_date greater than 58,SELECT * FROM subscriptions WHERE start_date > 412 LIMIT 100,Sales,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Finance,Postgres
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
Find users with id greater than 347,SELECT * FROM users WHERE id > 714 LIMIT 100,Product,Snowflake
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Engineering,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Support,Snowflake
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Count total events by event_id,"SELECT event_id, count(*) FROM events GROUP BY event_id ORDER BY 2 DESC",Engineering,Postgres
Count total events by url,"SELECT url, count(*) FROM events GROUP BY url ORDER BY 2 DESC",Finance,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
Count total logs by id,"SELECT id, count(*) FROM logs GROUP BY id ORDER BY 2 DESC",Engineering,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Engineering,Postgres
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Engineering,Snowflake
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Product,Postgres
Monthly trend of price for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(price) FROM products GROUP BY 1 ORDER BY 1",Product,Snowflake
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Marketing,BigQuery
Count total logs by timestamp,"SELECT timestamp, count(*) FROM logs GROUP BY timestamp ORDER BY 2 DESC",Product,Snowflake
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Count total events by session_id,"SELECT session_id, count(*) FROM events GROUP BY session_id ORDER BY 2 DESC",Finance,BigQuery
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Engineering,BigQuery
Monthly trend of url for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(url) FROM events GROUP BY 1 ORDER BY 1",Support,BigQuery
Monthly trend of id for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM products GROUP BY 1 ORDER BY 1",Sales,BigQuery
Find subscriptions with id greater than 199,SELECT * FROM subscriptions WHERE id > 525 LIMIT 100,Support,BigQuery
Find logs with timestamp greater than 332,SELECT * FROM logs WHERE timestamp > 707 LIMIT 100,Finance,Postgres
Find orders with created_at greater than 995,SELECT * FROM orders WHERE created_at > 23 LIMIT 100,Support,Snowflake
Find logs with id greater than 280,SELECT * FROM logs WHERE id > 912 LIMIT 100,Finance,Postgres
Calculate average timestamp in events,SELECT avg(timestamp) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Sales,Postgres
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Find events with url greater than 762,SELECT * FROM events WHERE url > 369 LIMIT 100,Product,Snowflake
Monthly trend of event_type for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_type) FROM events GROUP BY 1 ORDER BY 1",Sales,Snowflake
Find events with timestamp greater than 505,SELECT * FROM events WHERE timestamp > 125 LIMIT 100,Sales,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Snowflake
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Support,Postgres
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Product,Postgres
Find products with price greater than 613,SELECT * FROM products WHERE price > 437 LIMIT 100,Sales,Snowflake
Calculate average amount in orders,SELECT avg(amount) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Support,Postgres
Monthly trend of price for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(price) FROM products GROUP BY 1 ORDER BY 1",Finance,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Finance,Snowflake
Calculate average id in products,SELECT avg(id) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Marketing,Snowflake
Monthly trend of id for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM orders GROUP BY 1 ORDER BY 1",Sales,BigQuery
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Sales,BigQuery
Count total orders by user_id,"SELECT user_id, count(*) FROM orders GROUP BY user_id ORDER BY 2 DESC",Engineering,Snowflake
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Find events with url greater than 447,SELECT * FROM events WHERE url > 487 LIMIT 100,Marketing,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,BigQuery
Count total products by category,"SELECT category, count(*) FROM products GROUP BY category ORDER BY 2 DESC",Product,BigQuery
Find subscriptions with id greater than 138,SELECT * FROM subscriptions WHERE id > 422 LIMIT 100,Support,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
Find users with status greater than 851,SELECT * FROM users WHERE status > 307 LIMIT 100,Product,Snowflake
Find events with event_id greater than 768,SELECT * FROM events WHERE event_id > 608 LIMIT 100,Support,BigQuery
Calculate average session_id in events,SELECT avg(session_id) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Support,Snowflake
Count total orders by amount,"SELECT amount, count(*) FROM orders GROUP BY amount ORDER BY 2 DESC",Support,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Marketing,Postgres
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Support,BigQuery
Count total orders by status,"SELECT status, count(*) FROM orders GROUP BY status ORDER BY 2 DESC",Marketing,Snowflake
Calculate average price in products,SELECT avg(price) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Snowflake
Calculate average url in events,SELECT avg(url) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Postgres
Monthly trend of price for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(price) FROM products GROUP BY 1 ORDER BY 1",Sales,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Product,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Engineering,Snowflake
Find events with url greater than 948,SELECT * FROM events WHERE url > 869 LIMIT 100,Support,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Sales,BigQuery
Find subscriptions with mrr greater than 859,SELECT * FROM subscriptions WHERE mrr > 423 LIMIT 100,Finance,Postgres
Count total users by id,"SELECT id, count(*) FROM users GROUP BY id ORDER BY 2 DESC",Marketing,BigQuery
Find logs with timestamp greater than 117,SELECT * FROM logs WHERE timestamp > 931 LIMIT 100,Engineering,BigQuery
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Support,Postgres
Find logs with service_name greater than 955,SELECT * FROM logs WHERE service_name > 188 LIMIT 100,Sales,Postgres
Monthly trend of url for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(url) FROM events GROUP BY 1 ORDER BY 1",Product,Postgres
Find orders with created_at greater than 705,SELECT * FROM orders WHERE created_at > 302 LIMIT 100,Engineering,Postgres
Count total events by timestamp,"SELECT timestamp, count(*) FROM events GROUP BY timestamp ORDER BY 2 DESC",Engineering,Postgres
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Support,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Find subscriptions with plan_type greater than 931,SELECT * FROM subscriptions WHERE plan_type > 582 LIMIT 100,Engineering,Postgres
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Product,Snowflake
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Sales,Postgres
Find orders with amount greater than 730,SELECT * FROM orders WHERE amount > 376 LIMIT 100,Finance,Postgres
Calculate average id in products,SELECT avg(id) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Monthly trend of stock_level for products,"SELECT DATE_TRUNC('month', created_at) as month, sum(stock_level) FROM products GROUP BY 1 ORDER BY 1",Finance,BigQuery
Find logs with id greater than 356,SELECT * FROM logs WHERE id > 441 LIMIT 100,Sales,Postgres
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
Count total users by id,"SELECT id, count(*) FROM users GROUP BY id ORDER BY 2 DESC",Product,BigQuery
Calculate average event_type in events,SELECT avg(event_type) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Calculate average id in subscriptions,SELECT avg(id) FROM subscriptions WHERE created_at >= NOW() - INTERVAL '30 days',Finance,Postgres
Monthly trend of id for users,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM users GROUP BY 1 ORDER BY 1",Sales,Postgres
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Support,Postgres
Monthly trend of mrr for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(mrr) FROM subscriptions GROUP BY 1 ORDER BY 1",Marketing,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Product,Snowflake
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Engineering,Postgres
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Calculate average id in users,SELECT avg(id) FROM users WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,Postgres
Calculate average stock_level in products,SELECT avg(stock_level) FROM products WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Find users with status greater than 516,SELECT * FROM users WHERE status > 732 LIMIT 100,Support,Snowflake
Monthly trend of amount for orders,"SELECT DATE_TRUNC('month', created_at) as month, sum(amount) FROM orders GROUP BY 1 ORDER BY 1",Engineering,BigQuery
Find products with category greater than 116,SELECT * FROM products WHERE category > 65 LIMIT 100,Sales,Snowflake
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
Find orders with status greater than 135,SELECT * FROM orders WHERE status > 391 LIMIT 100,Support,Postgres
Count total users by country,"SELECT country, count(*) FROM users GROUP BY country ORDER BY 2 DESC",Finance,Snowflake
Find users with signup_date greater than 403,SELECT * FROM users WHERE signup_date > 317 LIMIT 100,Finance,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Marketing,Snowflake
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Marketing,BigQuery
Find users with id greater than 791,SELECT * FROM users WHERE id > 366 LIMIT 100,Finance,BigQuery
Find products with category greater than 785,SELECT * FROM products WHERE category > 38 LIMIT 100,Sales,BigQuery
Monthly trend of id for subscriptions,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM subscriptions GROUP BY 1 ORDER BY 1",Support,BigQuery
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Count total products by stock_level,"SELECT stock_level, count(*) FROM products GROUP BY stock_level ORDER BY 2 DESC",Engineering,Postgres
Find users with signup_date greater than 265,SELECT * FROM users WHERE signup_date > 799 LIMIT 100,Product,Snowflake
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Sales,Snowflake
Find events with timestamp greater than 137,SELECT * FROM events WHERE timestamp > 324 LIMIT 100,Product,BigQuery
Find products with name greater than 483,SELECT * FROM products WHERE name > 27 LIMIT 100,Marketing,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Product,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Marketing,Postgres
Find products with price greater than 140,SELECT * FROM products WHERE price > 242 LIMIT 100,Support,Postgres
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Finance,Postgres
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Product,BigQuery
Calculate average id in orders,SELECT avg(id) FROM orders WHERE created_at >= NOW() - INTERVAL '30 days',Sales,BigQuery
Calculate average timestamp in events,SELECT avg(timestamp) FROM events WHERE created_at >= NOW() - INTERVAL '30 days',Finance,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Product,Snowflake
Monthly trend of event_id for events,"SELECT DATE_TRUNC('month', created_at) as month, sum(event_id) FROM events GROUP BY 1 ORDER BY 1",Engineering,Postgres
List inactive products (no activity 90 days),SELECT * FROM products WHERE last_active < CURRENT_DATE - 90,Support,Snowflake
Find logs with service_name greater than 174,SELECT * FROM logs WHERE service_name > 387 LIMIT 100,Finance,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
List inactive events (no activity 90 days),SELECT * FROM events WHERE last_active < CURRENT_DATE - 90,Marketing,BigQuery
Count total users by id,"SELECT id, count(*) FROM users GROUP BY id ORDER BY 2 DESC",Engineering,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Finance,BigQuery
List inactive users (no activity 90 days),SELECT * FROM users WHERE last_active < CURRENT_DATE - 90,Sales,Snowflake
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
Find logs with id greater than 465,SELECT * FROM logs WHERE id > 760 LIMIT 100,Marketing,Snowflake
Find users with status greater than 88,SELECT * FROM users WHERE status > 946 LIMIT 100,Sales,BigQuery
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Engineering,BigQuery
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Support,Postgres
Find subscriptions with plan_type greater than 331,SELECT * FROM subscriptions WHERE plan_type > 130 LIMIT 100,Finance,Snowflake
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Engineering,Postgres
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Product,BigQuery
Calculate average id in logs,SELECT avg(id) FROM logs WHERE created_at >= NOW() - INTERVAL '30 days',Engineering,Postgres
List inactive orders (no activity 90 days),SELECT * FROM orders WHERE last_active < CURRENT_DATE - 90,Sales,Postgres
List inactive logs (no activity 90 days),SELECT * FROM logs WHERE last_active < CURRENT_DATE - 90,Sales,BigQuery
List inactive subscriptions (no activity 90 days),SELECT * FROM subscriptions WHERE last_active < CURRENT_DATE - 90,Sales,Snowflake
Monthly trend of id for logs,"SELECT DATE_TRUNC('month', created_at) as month, sum(id) FROM logs GROUP BY 1 ORDER BY 1",Support,Postgres
